version,cve
2024.12.1,
2024.12.0,
2024.09.1,
2024.09.0,
2024.04.2,
2024.04.1,
2024.04.0,
2023.12.1,
2023.12.0,
2023.09.1,
2023.09.0,
2023.06.2,
2023.06.1,
2023.06.0,
2023.03.2,
2023.03.1,
2023.03.0,
2022.12.0,
2022.07.2,
2022.07.1,
2022.07.0,
2022.02.4,
2022.02.3,
2022.02.2,
2022.02.1,
2022.02.0,
2021.09.4,
2021.09.3,
2021.09.2,
2021.09.1,
2021.09.0,
